"code","level","title","credits","subject","description"
"BIOL403","upperDivisionUndergraduate","Advanced Immunology Discussion","{'min': 1, 'max': 3}","Biology","Discussion group in which papers from the contemporary immunological literature are analyzed and critiqued. Does not count towards the upper division breadth requirement.

"
"BIOL404","upperDivisionUndergraduate","Topics in Physiology","{'min': '1', 'max': '3'}","Biology","Continually changing selection of sections that satisfy upper-division CMP breadth requirement. 
"
"BIOL406","upperDivisionUndergraduate","Topics in Organismal Biology","{'min': '1', 'max': '4'}","Biology","Continually changing selection of topics that satisfy upper-division EEO Biology breadth requirement.  

"
"BIOL408L","upperDivisionUndergraduate","Bosque Internship",3,"Biology","UNM students train as interns with the Bosque Ecosystem Monitoring program to learn bosque ecology and mentor K-12 students and teachers in monthly data collection at field sites along the Rio Grande. Study includes ecosystem dynamics, data use, and environmental education components. Weekly on- and off-campus meetings (K-12 interaction limited in summer session). 
"
"BIOL409","upperDivisionUndergraduate","Topics in Ecology-Evolution","[3, '4']","Biology","Continually changing selection of topics that satisfy upper-division EEO breadth requirement.  

"
"BIOL412","starOrDoubleStarCoursesNumbered_300To_499","Developmental Biology",3,"Biology","Comparative biology of animal development emphasizing regulatory mechanisms. Developmental Biology studies the formation, origin and progression of embryo and its development into an adult individual. This course provides a global perspective of Development as a synthesis of gene regulation, molecular signal transduction, cellular architecture, cell behavior and tissue morphogenesis. Fulfills the CMP breadth requirement of the Biology BS/BA degree.

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work."
"BIOL415","upperDivisionUndergraduate","Data Science for Biology","3","Biology","In this course, students will learn how to examine and analyze the data, assert confidence in their parameter estimates, predict future data, and present the results, while mastering the R software. Fulfills the INT breadth requirement."
"BIOL419","upperDivisionUndergraduate","Topics in Interdisciplinary Science","[3, '4']","Biology","Continually changing selection of topics that satisfy upper-division INT breadth requirement.  
"
"BIOL421","upperDivisionUndergraduate","Astrobiology the Science and Speculations About Life in the Universe.","3","Biology","Astrobiology studies the origins, evolution, detection, distribution, and future of life in the universe. We will also explore how we define life, the limitations of life based on the natural laws of the universe, and the  implications of discovering life from microbes to advanced civilizations. Fulfills the INT breadth requirement of the Biology BS/BA degree."
"BIOL422","upperDivisionUndergraduate","Symbiosis: The evolution of organismal interactions","3","Biology","Planet Earth is inhabited by millions of species, who often inhabit the same spaces & share—or compete for—the same resources; they interact in a variety of ways, known collectively as symbiosis. This course explores the processes that establish, maintain, and disrupt symbioses. Fulfills the INT breadth requirement of the Biology BS/BA degree.
"
"BIOL425","starOrDoubleStarCoursesNumbered_300To_499","Molecular Genetics",3,"Biology","Molecular biology of the gene. Fulfills the CMP breadth requirement of the Biology BS/BA degree. 

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work."
"BIOL429","starOrDoubleStarCoursesNumbered_300To_499","Molecular Cell Biology I",3,"Biology","Cellular processes with emphasis on membranes; includes reading original landmark papers in cell biology. Fulfills the CMP breadth requirement of the Biology BS/BA degree.

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work.
"
"BIOL430","upperDivisionUndergraduate","Department of Biology Seminar","1","Biology","This course provides engagement between UNM students and faculty with the wider scientific community. Each week a different scientist is invited by UNM Biology faculty or students to present their research to the department. Each seminar concludes with a short audience question period. "
