courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
MUSIC 505B,Brass Literature,Intensification and deeper study of Music 505A materials.,"(2, 2)",,,
MUSIC 505B,Organ Literature,Intensification and deeper study of Music 505A materials.,"(2, 2)",,,
MUSIC 505B,Percussion Literature,Intensification and deeper study of Music 505A materials.,"(2, 2)",,,
MUSIC 505B,Piano Literature,Intensification and deeper study of Music 505A materials.,"(2, 2)",,,
MUSIC 505B,String Literature,Intensification and deeper study of Music 505A materials.,"(2, 2)",,,
MUSIC 505B,Vocal Literature,Intensification and deeper study of Music 505A materials.,"(2, 2)",,,
MUSIC 505B,Woodwind Literature,Intensification and deeper study of Music 505A materials.,"(2, 2)",,,
ARAB 426R,Advanced Arabic Grammar,"The morphology and syntax of modern Arabic, including advanced vocabulary study.","(2, 2)",,,
EXSC 514,Advanced AT Lab,"Advanced athletic training skills, including taping, bracing and splinting, custom-fitted equipment, massage and stretching techniques, and emergency splinting and transport.","(1, 1)",,,
MMBIO 461,Advanced Bacterial Physiology,"Principles of prokaryotic physiology, including cell structure and function, gene regulation, and biochemical processes; focusing on the unique aspects of prokaryotic biology.","(3, 3)",,,
NEURO 602,Advanced Behavioral Neurosci,"Graduate-level principles and contemporary developments in neural science. Structure-function relationships and integration anatomic, systems, behavioral, cognitive, and/or clinical neuroscience.","(3, 3)",,,
CHEM 581,Adv Biochemical Methodology 1,"Analytical and structural determination methods used in biochemical research, including mass spectrometry-based proteomics, immunotechniques, atomic force and electron microscopy, NMR and X-ray diffraction.","(3, 3)",,,
