"code","level","title","credits","college","description"
"ARAB2120","Undergraduate Semester","Accelerated Intermediate Arabic",4,"HU - College of Humanities","This course combines 2010 and 2020 levels of the language into one semester. Restricted to students with two semesters of classroom experience with the language, or an experience that places them at an equivalent level of proficiency who will be able to move through material quickly especially early in the semester. Completion of this course with a C- or better fulfills the BA Language Requirement."
"CHIN2120","Undergraduate Semester","Accelerated Intermediate Chinese",4,"HU - College of Humanities","This course combines 2010 and 2020 levels of the language into one semester. Restricted to students with two semesters of classroom experience with the language, or an experience that places them at an equivalent level of proficiency who will be able to move through material quickly especially early in the semester. Completion of this course with a C- or better fulfills the BA Language Requirement."
"FRNCH2120","Undergraduate Semester","Accelerated Intermediate French",4,"HU - College of Humanities","This course combines 2010 and 2020 levels of the language into one semester. Restricted to students with two semesters of classroom experience with the language, or an experience that places them at an equivalent level of proficiency who will be able to move through material quickly especially early in the semester. Completion of this course with a C- or better fulfills the BA Language Requirement."
"GERM2120","Undergraduate Semester","Accelerated Intermediate German",4,"HU - College of Humanities","This course combines 2010 and 2020 levels of the language into one semester. Restricted to students with two semesters of classroom experience with the language, or an experience that places them at an equivalent level of proficiency who will be able to move through material quickly especially early in the semester. Completion of this course with a C- or better fulfills the BA Language Requirement."
"HINDI2120","Undergraduate Semester","Accelerated Intermediate Hindi-Urdu",4,"HU - College of Humanities","This course combines 2010 and 2020 levels of the language into one semester. Restricted to students with two semesters of classroom experience with the language, or an experience that places them at an equivalent level of proficiency who will be able to move through material quickly especially early in the semester. Completion of this course with a C- or better fulfills the BA Language Requirement."
"ITAL2120","Undergraduate Semester","Accelerated Intermediate Italian",4,"HU - College of Humanities","This course combines 2010 and 2020 levels of the language into one semester. Restricted to students with two semesters of classroom experience with the language, or an experience that places them at an equivalent level of proficiency who will be able to move through material quickly especially early in the semester. Completion of this course with a C- or better fulfills the BA Language Requirement."
"JAPAN2120","Undergraduate Semester","Accelerated Intermediate Japanese",4,"HU - College of Humanities","This course combines 2010 and 2020 levels of the language into one semester. Restricted to students with two semesters of classroom experience with the language, or an experience that places them at an equivalent level of proficiency who will be able to move through material quickly especially early in the semester. Completion of this course with a C- or better fulfills the BA Language Requirement."
"KOREA2120","Undergraduate Semester","Accelerated Intermediate Korean",4,"HU - College of Humanities","This course combines 2010 and 2020 levels of the language into one semester. Restricted to students with two semesters of classroom experience with the language, or an experience that places them at an equivalent level of proficiency who will be able to move through material quickly especially early in the semester. Completion of this course with a C- or better fulfills the BA Language Requirement."
"HEBR2120","Undergraduate Semester","Accelerated Intermediate Modern Hebrew",4,"HU - College of Humanities","This course combines 2010 and 2020 levels of the language into one semester. Restricted to students with two semesters of classroom experience with the language, or an experience that places them at an equivalent level of proficiency who will be able to move through material quickly especially early in the semester. Completion of this course with a C- or better fulfills the BA Language Requirement."
"PSHTO2120","Undergraduate Semester","Accelerated Intermediate Pashto",4,"HU - College of Humanities","This course combines 2010 and 2020 levels of the language into one semester. Restricted to students with two semesters of classroom experience with the language, or an experience that places them at an equivalent level of proficiency who will be able to move through material quickly especially early in the semester. Completion of this course with a C- or better fulfills the BA Language Requirement."
"PERS2120","Undergraduate Semester","Accelerated Intermediate Persian",4,"HU - College of Humanities","This course combines 2010 and 2020 levels of the language into one semester. Restricted to students with two semesters of classroom experience with the language, or an experience that places them at an equivalent level of proficiency who will be able to move through material quickly especially early in the semester. Completion of this course with a C- or better fulfills the BA Language Requirement."
"PTGSE2120","Undergraduate Semester","Accelerated Intermediate Portuguese",4,"HU - College of Humanities","This course combines 2010 and 2020 levels of the language into one semester. Restricted to students with two semesters of classroom experience with the language, or an experience that places them at an equivalent level of proficiency who will be able to move through material quickly especially early in the semester. Completion of this course with a C- or better fulfills the BA Language Requirement."
