"course_code","course_title","department","credits","description"
"ARTS 440","Advanced Fine Art Photography","Art (ARTS)","3 Units",""
"ARTS 443","Advanced Alternative Photography","Art (ARTS)","3 Units",""
"ARTS 450","Advanced Digital Media","Art (ARTS)","3 Units",""
"ARTS 451","New Media","Art (ARTS)","3 Units",""
"ARTS 460","Advanced Ceramics","Art (ARTS)","3 Units",""
"ARTS 470","Advanced Sculpture","Art (ARTS)","3 Units",""
"ARTS 476","Advanced Glass Art","Art (ARTS)","3 Units",""
"ARTS 480","Public Art","Art (ARTS)","3 Units",""
"ARTS 489","Internship Program in Art","Art (ARTS)","1-3 Units",""
"ARTS 495W","Professional Practices Seminar (W)","Art (ARTS)","3 Units  W, GW",""
"ARTS 498","Special Topics","Art (ARTS)","1-3 Units",""
"ARTS 499","Special Problems","Art (ARTS)","1-3 Units",""
"ARTS 499H","Honors Project","Art (ARTS)","3 Units",""
"ARTS 595W","BFA Senior Studio (W)","Art (ARTS)","3 Units  W, GW",""
"ARTS 627","Graduate Studio in Painting/Drawing","Art (ARTS)","3 Units",""
"ARTS 630","Graduate Studio in Printmaking","Art (ARTS)","3 Units",""
"ARTS 640","Graduate Studio in Photography","Art (ARTS)","3 Units",""
"ARTS 651","Graduate Studies in Electronic Intermedia","Art (ARTS)","3 Units",""
"ARTS 660","Graduate Studio in Ceramics","Art (ARTS)","3 Units",""
"ARTS 670","Graduate Studio in Sculpture","Art (ARTS)","3 Units",""
"ARTS 672","Graduate Sculpture: Fire Arts","Art (ARTS)","3 Units",""
"ARTS 676","Graduate Studio in Glass Design","Art (ARTS)","3 Units",""
"ARTS 689","Graduate Internship","Art (ARTS)","1-3 Units",""
"ARTS 695","Interdisciplinary Graduate Studio Seminar","Art (ARTS)","3 Units",""
"ARTS 696","Seminar in Contemporary Art","Art (ARTS)","3 Units",""
"ARTS 697","Independent Study","Art (ARTS)","1-6 Units",""
"ARTS 699P","Master's Project","Art (ARTS)","1-6 Units",""
"ARTS 699T","Masters Study","Art (ARTS)","1-6 Units",""
"ARTE 401","Manga and Beyond: Influences of Pop-culture in the Visual Art World","Art Education (ARTE)","3 Units",""
"ARTE 489","Art Teaching Internship","Art Education (ARTE)","1-3 Units",""
