"course_code","course_title","department","credits","description"
"ACSD 721","AUDITORY DIAGNOSTICS II","Audiology (ACSD)","3",""
"ACSD 723","MEDICAL AUDIOLOGY","Audiology (ACSD)","2",""
"ACSD 731","CALIBRATION AND INSTRUMENTATION","Audiology (ACSD)","1",""
"ACSD 743","ELECTROPHYSIOLOGIC EVALUATION OF THE PERIPHERAL AUDITORY SYSTEM.","Audiology (ACSD)","3",""
"ACSD 744","ELECTROPHYSIOLOGIC EVALUATION OF THE CENTRAL AUDITORY NERVOUS SYSTEM","Audiology (ACSD)","3",""
"ACSD 745","AUDIOLOGY CLINIC ON CAMPUS II","Audiology (ACSD)","3",""
"ACSD 746","AUDIOLOGY CLINIC ON CAMPUS III","Audiology (ACSD)","3",""
"ACSD 747","AUDIOLOGY CLINIC OFF CAMPUS I","Audiology (ACSD)","2",""
"ACSD 748","AUDIOLOGY CLINIC OFF CAMPUS II","Audiology (ACSD)","2",""
"ACSD 751","HEARING CONSERVATION","Audiology (ACSD)","1",""
"ACSD 753","PEDIATRICS AND EDUCATIONAL AUDIOLOGY","Audiology (ACSD)","3",""
"ACSD 755","HEARING AIDS II: HEARING AID MODIFICATION","Audiology (ACSD)","3",""
"ACSD 790","AUDIOLOGY CLINIC ON CAMPUS CONTINUUM","Audiology (ACSD)","3",""
"ACSD 796","DOCTORAL THESIS PROPOSAL DEVELOPMENT I","Audiology (ACSD)","2",""
"ACSD 797","DOCTORAL THESIS PROPOSAL DEVELOPMENT II","Audiology (ACSD)","2",""
"ACSD 843","VESTIBULAR ASSESSMENT AND REHABILITATION","Audiology (ACSD)","3",""
"ACSD 844","TINNITUS","Audiology (ACSD)","1",""
"ACSD 845","VESTIBULAR DIAGNOSTIC AND TREATMENT LAB","Audiology (ACSD)","1",""
"ACSD 847","AUDIOLOGY CLINIC OFF CAMPUS III","Audiology (ACSD)","2",""
"ACSD 848","AUDIOLOGY CLINIC OFF CAMPUS IV","Audiology (ACSD)","2",""
