Course Code,Course Name,Credits,Level
ARTCR 63352,Advanced Photography Tutorial 3,3,Graduate
ARTCR 63353,Advanced Photography Tutorial 3,3,Graduate
ARTCR 63351,Advanced Photography Tutorial 3,3,Graduate
ARTCR 63168,Advanced Photography Tutorial I,3,Graduate
ARTCR 63170,Advanced Photography Tutorial I,3,Graduate
ARTCR 63368,Advanced Photography Tutorial II,3,Graduate
ARTCR 63370,Advanced Photography Tutorial III,3,Graduate
NURS 85100,Advanced Physical Assessment Practicum,1,Doctoral
PSYCH 71000,Advanced Physiological Psychology I (Neuroscience I) (B),3,Graduate
PSYCH 71100,Advanced Physiological Psychology II (Neuroscience II) (B),3,Graduate
NURS 74300,Advanced Practice Psychiatric-Mental Health Nursing 2,5,Graduate
NURS 74200,Advanced Practice Psychiatric-Mental Health Nursing I,5,Graduate
NURS 74400,Advanced Practice Psychiatric-Mental Health Nursing III An Exploration Of Contemporary Mental Health,5,Graduate
NURS 87100,Advanced Practice Public Health Nursing 1,1,Doctoral
SSW 79730,Advanced Practice with Groups,3,Graduate
NURS 80300,Advanced Principles of Nurse Anesthesia 1,4,Doctoral
NURS 80500,Advanced Principles of Nurse Anesthesia 2,6,Doctoral
STAT 70100,Advanced Probability Theory I,3,Graduate
STAT 70200,Advanced Probability Theory II,3,Graduate
ARTCR 60100,Advanced Problems in Design,3,Graduate
CSCI 79521,Advanced Programming Languages,3,Graduate
NURS 77700,Advanced Psychiatric Mental Health Assessment and Intervention: General,3,Graduate
ARTCR 62156,Advanced Sculpture 1,3,Graduate
ARTCR 62100,Advanced Sculpture 1,3,Graduate
ARTCR 62159,Advanced Sculpture 1,3,Graduate
ARTCR 62157,Advanced Sculpture 1,3,Graduate
ARTCR 62178,Advanced Sculpture 1,3,Graduate
ARTCR 62157,Advanced Sculpture 1,3,Graduate
ARTCR 62256,Advanced Sculpture 2,3,Graduate
ARTCR 62255,Advanced Sculpture 2,3,Graduate
ARTCR 62259,Advanced Sculpture 2,3,Graduate
ARTCR 62251,Advanced Sculpture 2,3,Graduate
ARTCR 62257,Advanced Sculpture 2,3,Graduate
ARTCR 62300,Advanced Sculpture 3,3,Graduate
ARTCR 62355,Advanced Sculpture 3,3,Graduate
ARTCR 62357,Advanced Sculpture 3,3,Graduate
ARTCR 62356,Advanced Sculpture 3,3,Graduate
