Course Code,Course Name,Credits,Level
ENGL 39897,20th Cen Amer Women Fiction,3,Undergraduate
AFPRL 39046,20th Cen Black Women Lit,3,Undergraduate
ENGL 32976,20th Cen Poetry American,3,Undergraduate
ENGL 39079,20th Cen Prose Styl,3,Undergraduate
ENGL 39073,"20th Cen Satire, Theatre, Frm",3,Undergraduate
ENGL 39856,20th Cen So.Renaissance,3,Undergraduate
ENGL 39084,20th Cen World Poet & Pol,3,Undergraduate
ENGL 31956,20th Cent Black Women Lit,3,Undergraduate
ENGL 39052,20th Cent Glbl Poets,3,Undergraduate
ENGL 31975,20th Cent Poetry Amer Women,3,Undergraduate
THEA 39709,20th Century Actor Training,3,Undergraduate
THEA 32300,20th Century Aesthetics in Theatre and Film,3,Undergraduate
ARTH 29905,20th Century African American Art,3,Undergraduate
ARTH 27500,20th Century African American Art,3,Undergraduate
ENGL 25148,20th Century African American Expatriate Literature,3,Undergraduate
ARTH 38110,20th Century African American Manuscript,3,Undergraduate
URBS 40383,20th Century Architecture,3,Undergraduate
ARTH 25500,20th Century Architecture,3,Undergraduate
HIST 34112,20th Century China,3,Undergraduate
PHILO 39483,20th Century Continental Philosophy,3,Undergraduate
THEA 39754,20th Century Ensemble Theatre in America,3,Undergraduate
HIST 38232,20th Century France and Empire,3,Undergraduate
THEA 39744,20th Century German Theatre,3,Undergraduate
COMPL 35154,20th Century Global Poets in English,3,Undergraduate
ENGL 32953,20th Century Immigration Literature,3,Undergraduate
MUSHL 26109,20th Century Music,3,Undergraduate
MUSHL 36163,20th Century Music and Technique,3,Undergraduate
MUSTH 36104,20th Century Music Theory,3,Undergraduate
ENGL 39958,20th Century Native Amer Lit,3,Undergraduate
ITAL 36101,20th Century Perspectives on the Renaissance,3,Undergraduate
PHILO 39358,20th Century Philosophy,3,Undergraduate
LACS 34326,20th Century Puerto Rican Literature,3,Undergraduate
ENGL 25155,20th Century Southern Literacy Renaissance,3,Undergraduate
HIST 3411C,20th Century U.S. Gender and Sexuality,3,Undergraduate
ENGL 31967,20th Century Women Writers,3,Undergraduate
WGSA 31967,20th Century Women Writers,3,Undergraduate
ENGL 31978,20th Century Women Writers and the Politics of Imagination,3,Undergraduate
WGSA 31978,20th Century Women Writers and the Politics of Imagination,3,Undergraduate
HIST 11300,20th Century World History,3,Undergraduate
CHIN 30600,20th-Century Chinese Literature,3,Undergraduate
FREN 35000,20th-Century French Literature to 1930,3,Undergraduate
HIST 38700,20th-Century India,3,Undergraduate
SPAN 36600,20th-Century Latin American Poetry,3,Undergraduate
MUSTH 46161,20th-Century Music Theory,3,Undergraduate
HIST 35800,20th-Century United States,3,Undergraduate
ENGL 31758,21st Century African Literature,3,Undergraduate
HONS 30140,2nd Generation,3,Undergraduate
ARTCR 36073,3-D Painting Seminar,3,Undergraduate
MEDP 36000,3D Anim & Modeling,3,Undergraduate
MEDP 36600,3D Character Animation,3,Undergraduate
MEDP 27000,"3D Graphics for Design, Film and AR",3,Undergraduate
ARTCR 36034,3D Space & Morning Img,3,Undergraduate
MEDP 36500,3D Virtual Environments,3,Undergraduate
ARTCR 36075,A Comp of Painting & Sculpture Statue,3,Undergraduate
HONS 20153,A Social History of Architecture in NYC,3,Undergraduate
MUSHL 10100,A Thousand Years of Listening,3,Undergraduate
URBS 40366,AA Civil Rghts & Law,3,Undergraduate
URBS 40364,AA Hist:Labor & Poltcs,3,Undergraduate
ANTHC 32550,AA Mvmt Comm Org,3,Undergraduate
ENGL 39069,Abc's of Modernism,3,Undergraduate
ENGL 34201,Aberrations in Black: Contemporary African-American Rhetoric,3,Undergraduate
PSYCH 22300,Abnormal Psychology,3,Undergraduate
POLSC 20474,Abolition of Whiteness,3,Undergraduate
WGST 29001,Abolition of Whiteness,3,Undergraduate
REL 25300,Abrahamic Religions,3,Undergraduate
MATH 31100,Abstract Algebra I,3,Undergraduate
MATH 31200,Abstract Algebra II,3,Undergraduate
HR 22052,Accountability for HR in Palestine and Israel,3,Undergraduate
ACCP 49000,Accounting & Auditing Research,3,Undergraduate
ACC 27100,Accounting 1,3,Undergraduate
ECO 49000,Accounting and Auditing Research,3,Undergraduate
ACC 27200,Accounting II,3,Undergraduate
ACC 10100,Accounting: The Language of Business,3,Undergraduate
ILBAC 30004,Acheivement Contract,4,Undergraduate
ILBAC 40008,Achievement Contract,8,Undergraduate
ILBAC 40005,Achievement Contract,5,Undergraduate
ILBAC 40001,Achievement Contract,1,Undergraduate
ILBAC 30006,Achievement Contract,6,Undergraduate
ILBAC 30009,Achievement Contract,9,Undergraduate
ILBAC 40009,Achievement Contract,9,Undergraduate
ILBAC 40002,Achievement Contract,2,Undergraduate
ILBAC 30001,Achievement Contract,1,Undergraduate
ILBAC 40006,Achievement Contract,6,Undergraduate
ILBAC 30007,Achievement Contract,7,Undergraduate
ILBAC 30005,Achievement Contract,5,Undergraduate
ILBAC 30003,Achievement Contract,3,Undergraduate
ILBAC 40004,Achievement Contract,4,Undergraduate
ILBAC 40002,Achievement Contract,2,Undergraduate
ILBAC 40005,Achievement Contract,5,Undergraduate
ILBAC 30002,Achievement Contract,2,Undergraduate
ILBAC 30007,Achievement Contract,7,Undergraduate
PHYS 18600,Acoustics of Music,3,Undergraduate
THEA 26100,Acting 2: American Realism,3,Undergraduate
THEA 16100,Acting I:Basic Acting Techniques,3,Undergraduate
